Reference,Pin,Pin Name,Connected Net
U8,25,PB11,LCD_DC
U8,26,PB12,LCD_CS
U8,27,PB13,SPI2_SCK
U8,28,PB14,SPI2_MISO
U8,29,PB15,SPI2_MOSI
U8,30,PA8,NC
U8,31,PA9,NC
U8,32,PA10,NC
U8,33,PA11,NC
U8,34,PA12,NC
U8,35,VSS,GND
U8,36,VDD,+3V3
U8,37,PA13,SWDIO
U8,38,PA14,SWCLK
U8,39,PA15,NC
U8,40,PB3,SWO
U8,41,PB4,RUN_LED
U8,42,PB5,FAULT_LED
U8,43,PB6,NC
U8,44,PB7,NC
U8,45,PB8/BOOT0,BOOT0
U8,46,PB9,SD_CS
U8,47,VSS,GND
U8,48,VDD,+3V3
C32,1,,+3V3
C32,2,,GND
C33,1,,+3V3
C33,2,,GND
C34,1,,+3V3
C34,2,,GND
C35,1,,+3V3
C35,2,,GND
C36,1,,+3V3
C36,2,,GND
C37,1,,+3V3_A
C37,2,,GND
C38,1,,+3V3_A
C38,2,,GND
R26,1,,BOOT0
R26,2,,GND
R27,1,,+3V3
R27,2,,NRST
C39,1,,NRST
C39,2,,GND
J2,A,A,+5V_TACH
J2,B,B,GND
J2,C,C,NC
J2,D,D,TACH_SIG
R9,1,,TACH_SIG
R9,2,,TACH_IN
U3,1,NC,NC
U3,2,,TACH_IN
U3,3,GND,GND
U3,4,,TACH_CAPTURE
U3,5,VCC,+3V3
R10,1,,+5V_TACH
R10,2,,TACH_IN
C5,1,,TACH_IN
C5,2,,GND
C40,1,,+3V3
C40,2,,GND
F1,1,,+5V
F1,2,,TACH_FUSED
FB2,1,,TACH_FUSED
FB2,2,,+5V_TACH
C41,1,,+5V_TACH
C41,2,,GND
C42,1,,+5V_TACH
C42,2,,GND
DS1,J1.1,GND,GND
DS1,J1.2,DCX/SCL,NC
DS1,J1.3,WRX/DCX,LCD_DC
DS1,J1.4,RDX,NC
DS1,J1.5,DB0,NC
DS1,J1.6,DB1,NC
DS1,J1.7,DB2,NC
DS1,J1.8,DB3,NC
DS1,J1.9,DB4,NC
DS1,J1.10,DB5,NC
DS1,J1.11,DB6,NC
DS1,J1.12,DB7,NC
DS1,J1.13,DB8,NC
DS1,J1.14,DB9,NC
DS1,J1.15,DB10,NC
DS1,J1.16,DB11,NC
DS1,J1.17,DB12,NC
DS1,J1.18,DB13,NC
DS1,J1.19,DB14,NC
DS1,J1.20,DB15,NC
DS1,J2.1,GND,GND
DS1,J2.2,VIN,+3V3_DISP
DS1,J2.3,TP_SDA,NC
DS1,J2.4,TP_SCL,NC
DS1,J2.5,TP_INT,NC
DS1,J2.6,~{TP_RST},NC
DS1,J2.7,IM0,NC
DS1,J2.8,IM1,NC
DS1,J2.9,IM2,NC
DS1,J2.10,SDO,SPI2_MISO
DS1,J2.11,SDA,SPI2_MOSI
DS1,J2.12,~{CSX},LCD_CS
DS1,J2.13,SCL/DCX,SPI2_SCK
DS1,J2.14,~{RST},LCD_RST
DS1,J2.15,BLK_NC,NC
DS1,J2.16,GND,GND
DS1,J2.17,TE_NC,NC
DS1,J2.18,SD_SDO,SPI2_MISO
DS1,J2.19,~{SD_CS},SD_CS
DS1,J2.20,SD_CD,NC
BT1,1,+,BAT+
BT1,2,-,GND
J4,1,Pin_1,GND
J4,2,Pin_2,BAT+
SW1,1,A,SYS_OUT
SW1,2,B,SYS_RAW
J6,1,Pin_1,SYS_OUT
J6,2,Pin_2,SYS_RAW
J5,1,Pin_1,+3V3
J5,2,Pin_2,SWDIO
J5,3,Pin_3,GND
J5,4,Pin_4,SWCLK
J5,5,Pin_5,NRST
SW2,1,1,BTN_ACQUIRE
SW2,2,2,GND
R28,1,,+3V3
R28,2,,BTN_ACQUIRE
SW3,1,1,BTN_BACK
SW3,2,2,GND
R29,1,,+3V3
R29,2,,BTN_BACK
R30,1,,RUN_LED
R30,2,,D3_A
D3,1,K,GND
D3,2,A,D3_A
R31,1,,FAULT_LED
R31,2,,D4_A
D4,1,K,GND
D4,2,A,D4_A
TP1,1,1,SWO
U9,1,VIN,+5V
U9,2,GND,GND
U9,3,EN,+5V
U9,4,FB,DISP_FB
U9,5,SW,DISP_SW
L3,1,1,DISP_SW
L3,2,2,+3V3_DISP
C43,1,,+5V
C43,2,,GND
C44,1,,+3V3_DISP
C44,2,,GND
C45,1,,+3V3_DISP
C45,2,,DISP_FB
R32,1,,+3V3_DISP
R32,2,,DISP_FB
R33,1,,DISP_FB
R33,2,,GND
